DateKey,Date,Year,Quarter,Month,MonthName,MonthYear,Week,Day,DayOfWeek,IsWeekend,FiscalYear,Season,IsFestivalWindow
20220714,2022-07-14,2022,3,7,Jul,Jul-2022,28,14,Thursday,False,FY23,Monsoon,False
20220715,2022-07-15,2022,3,7,Jul,Jul-2022,28,15,Friday,False,FY23,Monsoon,False
20220716,2022-07-16,2022,3,7,Jul,Jul-2022,28,16,Saturday,True,FY23,Monsoon,False
20220717,2022-07-17,2022,3,7,Jul,Jul-2022,28,17,Sunday,True,FY23,Monsoon,False
20220718,2022-07-18,2022,3,7,Jul,Jul-2022,29,18,Monday,False,FY23,Monsoon,False
20220719,2022-07-19,2022,3,7,Jul,Jul-2022,29,19,Tuesday,False,FY23,Monsoon,False
20220720,2022-07-20,2022,3,7,Jul,Jul-2022,29,20,Wednesday,False,FY23,Monsoon,False
20220721,2022-07-21,2022,3,7,Jul,Jul-2022,29,21,Thursday,False,FY23,Monsoon,False
20220722,2022-07-22,2022,3,7,Jul,Jul-2022,29,22,Friday,False,FY23,Monsoon,False
20220723,2022-07-23,2022,3,7,Jul,Jul-2022,29,23,Saturday,True,FY23,Monsoon,False
20220724,2022-07-24,2022,3,7,Jul,Jul-2022,29,24,Sunday,True,FY23,Monsoon,False
20220725,2022-07-25,2022,3,7,Jul,Jul-2022,30,25,Monday,False,FY23,Monsoon,False
20220726,2022-07-26,2022,3,7,Jul,Jul-2022,30,26,Tuesday,False,FY23,Monsoon,False
20220727,2022-07-27,2022,3,7,Jul,Jul-2022,30,27,Wednesday,False,FY23,Monsoon,False
20220728,2022-07-28,2022,3,7,Jul,Jul-2022,30,28,Thursday,False,FY23,Monsoon,False
20220729,2022-07-29,2022,3,7,Jul,Jul-2022,30,29,Friday,False,FY23,Monsoon,False
20220730,2022-07-30,2022,3,7,Jul,Jul-2022,30,30,Saturday,True,FY23,Monsoon,False
20220731,2022-07-31,2022,3,7,Jul,Jul-2022,30,31,Sunday,True,FY23,Monsoon,False
